env_code	date	TMAX	TMIN	DL	GDD	PTT	PTR	PTS
01NC06	2006-05-03	75.02	42.98	14.63	12.51	183.0213	0.8551	809213.5886
01NC06	2006-05-04	75.92	50	14.67	12.96	190.1232	0.8834	702408.7935
01NC06	2006-05-05	80.96	55.94	14.7	18.45	271.215	1.2551	740159.6794
01NC06	2006-05-06	80.96	62.06	14.72	21.51	316.6272	1.4613	585698.6161
01NC06	2006-05-07	82.04	51.98	14.75	17.01	250.8975	1.1532	876481.2511
01NC06	2006-05-08	57.02	46.94	14.78	3.51	51.8778	0.2375	228915.7483
01NC06	2006-05-09	66.02	50	14.82	8.01	118.7082	0.5405	408217.6518
01NC06	2006-05-10	66.02	46.04	14.85	8.01	118.9485	0.5394	493740.792
01NC06	2006-05-11	71.06	48.02	14.88	10.53	156.6864	0.7077	607473.2564
01NC06	2006-05-12	80.96	44.96	14.92	15.48	230.9616	1.0375	1009101.524
01NC06	2006-05-13	71.96	46.04	14.95	10.98	164.151	0.7344	683595.8064
01NC06	2006-05-14	75.02	46.04	14.98	12.51	187.3998	0.8351	787268.142
01NC06	2006-05-15	73.94	51.98	15	12.96	194.4	0.864	622170.72
01NC06	2006-05-16	71.96	48.02	15.02	10.98	164.9196	0.731	647996.8116
01NC06	2006-05-17	69.98	48.02	15.05	9.99	150.3495	0.6638	586931.3982
01NC06	2006-05-18	75.02	48.02	15.08	12.51	188.6508	0.8296	755462.2533
01NC06	2006-05-19	78.08	48.02	15.12	14.04	212.2848	0.9286	866577.9718
01NC06	2006-05-20	73.04	48.92	15.13	11.52	174.2976	0.7614	673399.1676
01NC06	2006-05-21	69.98	69.08	15.17	19.53	296.2701	1.2874	28801.5524
01NC06	2006-05-22	82.94	59	15.18	20.97	318.3246	1.3814	783019.3421
01NC06	2006-05-23	82.94	51.98	15.2	17.46	265.392	1.1487	965082.5441
01NC06	2006-05-24	73.94	46.04	15.23	11.97	182.3031	0.7859	776448.8795
01NC06	2006-05-25	80.06	50	15.27	15.03	229.5081	0.9843	911613.6093
01NC06	2006-05-26	87.08	62.96	15.28	24.48	374.0544	1.6021	844950.1112
01NC06	2006-05-27	77	75.92	15.3	26.46	404.838	1.7294	38660.8062
01NC06	2006-05-28	86	62.06	15.32	24.03	368.1396	1.5685	831915.894
01NC06	2006-05-29	86	62.06	15.35	24.03	368.8605	1.5655	835177.2404
01NC06	2006-05-30	86	60.08	15.37	23.04	354.1248	1.499	894485.8862
01NC06	2006-05-31	89.06	66.02	15.38	26.01	400.0338	1.6912	845183.3599
01NC06	2006-06-01	87.08	64.04	15.4	25.02	385.308	1.6247	825744.8264
01NC06	2006-06-02	87.08	66.02	15.42	26.01	401.0742	1.6868	766659.1177
01NC06	2006-06-03	87.08	69.08	15.43	27.54	424.9422	1.7848	669228.0837
01NC06	2006-06-04	78.08	55.94	15.45	17.01	262.8045	1.101	708278.7264
01NC06	2006-06-05	82.04	59	15.47	20.52	317.4444	1.3264	777688.0067
01NC06	2006-06-06	73.04	57.92	15.48	15.48	239.6304	1	474495.7974
01NC06	2006-06-07	77	55.04	15.5	16.02	248.31	1.0335	696628.5156
01NC06	2006-06-08	82.94	57.92	15.5	20.43	316.665	1.3181	846717.2073
01NC06	2006-06-09	80.96	59	15.52	19.98	310.0896	1.2874	740320.3772
01NC06	2006-06-10	84.02	60.98	15.52	22.5	349.2	1.4497	804699.8323
01NC06	2006-06-11	86	62.96	15.53	24.48	380.1744	1.5763	827742.1101
01NC06	2006-06-12	87.08	66.02	15.53	26.01	403.9353	1.6748	777636.1993
01NC06	2006-06-13	78.98	62.06	15.55	20.52	319.086	1.3196	577036.7122
01NC06	2006-06-14	69.08	64.04	15.57	16.56	257.8392	1.0636	162648.8775
01NC06	2006-06-15	71.96	57.92	15.55	14.94	232.317	0.9608	440930.5341
01NC06	2006-06-16	82.04	60.08	15.57	21.06	327.9042	1.3526	756597.2523
01NC06	2006-06-17	84.92	59	15.57	21.96	341.9172	1.4104	904343.3985
01NC06	2006-06-18	86	60.08	15.57	23.04	358.7328	1.4798	917916.0898
01NC06	2006-06-19	84.02	62.06	15.58	23.04	358.9632	1.4788	778678.1755
01NC06	2006-06-20	84.92	64.04	15.58	24.48	381.3984	1.5712	754979.3353
01NC06	2006-06-21	89.96	68	15.58	27	420.66	1.733	842004.4127
01NC06	2006-06-22	86	64.94	15.57	25.47	396.5679	1.6358	770619.3994
01NC06	2006-06-23	89.96	66.92	15.57	26.46	411.9822	1.6994	876248.4859
01NC06	2006-06-24	87.98	68	15.58	27	420.66	1.733	756483.233
01NC06	2006-06-25	87.98	69.98	15.58	27.99	436.0842	1.7965	690167.5514
01NC06	2006-06-26	82.04	71.06	15.57	26.55	413.3835	1.7052	407525.469
01NC06	2006-06-27	84.02	71.06	15.57	27.54	428.7978	1.7688	487234.4853
01NC06	2006-06-28	78.98	68	15.57	23.49	365.7393	1.5087	391235.0976
01NC06	2006-06-29	89.06	69.08	15.55	27.54	428.247	1.7711	764008.1741
01NC06	2006-06-30	80.96	64.94	15.55	22.95	356.8725	1.4759	565169.3357
01NC06	2006-07-01	87.08	62.96	15.53	24.48	380.1744	1.5763	872825.1875
01NC06	2006-07-02	87.08	64.94	15.53	25.47	395.5491	1.6401	811748.0541
01NC06	2006-07-03	91.94	71.96	15.5	28.98	449.19	1.8697	786751.9605
01NC06	2006-07-04	93.92	71.96	15.5	28.98	449.19	1.8697	875164.6332
01NC06	2006-07-05	89.06	69.98	15.48	27.99	433.2852	1.8081	727154.423
01NC06	2006-07-06	89.06	71.06	15.48	28.53	441.6444	1.843	690653.1537
01NC06	2006-07-07	73.04	60.98	15.45	17.01	262.8045	1.101	385810.3631
01NC06	2006-07-08	78.98	57.92	15.43	18.45	284.6835	1.1957	686425.9084
01NC06	2006-07-09	80.96	59	15.43	19.98	308.2914	1.2949	731759.0828
01NC06	2006-07-10	82.04	60.98	15.4	21.51	331.254	1.3968	714326.2046
01NC06	2006-07-11	86	62.96	15.4	24.48	376.992	1.5896	813942.2269
01NC06	2006-07-12	87.98	66.92	15.38	26.46	406.9548	1.7204	771653.7224
01NC06	2006-07-13	89.06	66.92	15.35	26.46	406.161	1.7238	813698.0818
01NC06	2006-07-14	91.04	73.94	15.33	29.97	459.4401	1.955	662997.2383
01NC06	2006-07-15	91.04	73.94	15.32	29.97	459.1404	1.9563	662132.5534
01NC06	2006-07-16	91.94	73.04	15.3	29.52	451.656	1.9294	729921.179
01NC06	2006-07-17	91.04	66.02	15.27	26.01	397.1727	1.7033	916285.8346
01NC06	2006-07-18	93.92	68	15.25	27	411.75	1.7705	976056.9984
01NC06	2006-07-19	95	71.06	15.23	28.53	434.5119	1.8733	922123.2799
01NC06	2006-07-20	93.92	69.08	15.2	27.54	418.608	1.8118	935462.4768
01NC06	2006-07-21	91.04	69.08	15.18	27.54	418.0572	1.8142	810254.5161
01NC06	2006-07-22	91.04	69.98	15.15	27.99	424.0485	1.8475	778329.4347
01NC06	2006-07-23	87.08	69.08	15.13	27.54	416.6802	1.8202	643457.9359
01NC06	2006-07-24	82.94	66.92	15.1	24.93	376.443	1.651	547396.6492
01NC06	2006-07-25	86	69.08	15.07	27.54	415.0278	1.8275	595912.7199
01NC06	2006-07-26	84.02	69.98	15.05	27	406.35	1.794	489734.6454
01NC06	2006-07-27	87.98	69.98	15.02	27.99	420.4098	1.8635	641445.1053
01NC06	2006-07-28	93.02	69.98	15	27.99	419.85	1.866	844992
01NC06	2006-07-29	95	71.96	14.97	28.98	433.8306	1.9359	862062.0195
01NC06	2006-07-30	87.98	69.98	14.93	27.99	417.8907	1.8747	633781.0441
01NC06	2006-07-31	89.96	71.06	14.9	28.53	425.097	1.9148	675638.1488
01NC06	2006-08-01	93.02	71.96	14.87	28.98	430.9326	1.9489	768265.9814
01NC06	2006-08-02	95	73.04	14.83	29.52	437.7816	1.9906	811572.4777
01NC06	2006-08-03	96.98	75.02	14.82	30.51	452.1582	2.0587	829577.9307
01NC06	2006-08-04	98.06	75.02	14.78	30.51	450.9378	2.0643	871120.4906
01NC06	2006-08-05	98.06	73.94	14.75	29.97	442.0575	2.0319	902588.49
01NC06	2006-08-06	89.06	73.94	14.72	29.97	441.1584	2.036	534016.9175
01NC06	2006-08-07	89.96	71.96	14.68	28.98	425.4264	1.9741	628094.6749
01NC06	2006-08-08	93.02	71.96	14.65	28.98	424.557	1.9782	745701.3263
01NC06	2006-08-09	93.92	73.04	14.62	29.52	431.5824	2.0192	745139.6537
01NC06	2006-08-10	87.98	69.98	14.58	27.99	408.0942	1.9198	604414.2266
02MO06	2006-05-18	73.04	48.92	15.4	11.52	177.408	0.7481	697647.6904
02MO06	2006-05-19	86	51.98	15.43	18.99	293.0157	1.2307	1117589.472
02MO06	2006-05-20	75.02	57.02	15.45	16.02	247.509	1.0369	567329.0058
02MO06	2006-05-21	82.04	53.06	15.48	17.55	271.674	1.1337	938200.4628
02MO06	2006-05-22	75.92	57.02	15.52	16.47	255.6144	1.0612	605202.7774
02MO06	2006-05-23	78.98	57.92	15.53	18.45	286.5285	1.188	695352.0293
02MO06	2006-05-24	87.08	66.02	15.57	26.01	404.9757	1.6705	781647.2111
02MO06	2006-05-25	89.06	69.08	15.6	27.54	429.624	1.7654	768929.309
02MO06	2006-05-26	87.08	66.92	15.63	26.46	413.5698	1.6929	758453.9276
02MO06	2006-05-27	91.04	69.98	15.65	27.99	438.0435	1.7885	830552.0852
02MO06	2006-05-28	91.04	68	15.68	27	423.36	1.7219	900909.0685
02MO06	2006-05-29	91.04	66.92	15.68	26.46	414.8928	1.6875	936734.5639
02MO06	2006-05-30	84.92	66.02	15.72	25.47	400.3884	1.6202	704970.9695
02MO06	2006-05-31	84.02	66.02	15.73	25.02	393.5646	1.5906	668246.9817
02MO06	2006-06-01	75.92	62.06	15.77	18.99	299.4723	1.2042	475600.9983
02MO06	2006-06-02	82.94	57.92	15.78	20.43	322.3854	1.2947	877584.5871
02MO06	2006-06-03	86	62.06	15.8	24.03	379.674	1.5209	884863.0597
02MO06	2006-06-04	80.06	62.06	15.82	21.06	333.1692	1.3312	640236.8428
02MO06	2006-06-05	82.04	60.98	15.83	21.51	340.5033	1.3588	754774.0675
02MO06	2006-06-06	84.92	62.06	15.85	23.49	372.3165	1.482	844098.2545
02MO06	2006-06-07	87.08	66.92	15.87	26.46	419.9202	1.6673	781925.006
02MO06	2006-06-08	87.98	64.04	15.87	25.02	397.0674	1.5766	916597.6254
02MO06	2006-06-09	89.06	69.08	15.9	27.54	437.886	1.7321	798787.8805
02MO06	2006-06-10	91.04	66.92	15.92	26.46	421.2432	1.6621	965629.5675
02MO06	2006-06-11	80.06	60.98	15.92	20.52	326.6784	1.2889	682035.2113
02MO06	2006-06-12	73.04	59	15.93	16.02	255.1986	1.0056	470439.9282
02MO06	2006-06-13	78.98	55.94	15.93	17.46	278.1378	1.096	788842.6055
02MO06	2006-06-14	84.92	60.08	15.93	22.5	358.425	1.4124	914010.4168
02MO06	2006-06-15	87.98	64.04	15.95	25.02	399.069	1.5687	925861.9771
02MO06	2006-06-16	89.96	69.08	15.95	27.54	439.263	1.7266	844808.4248
02MO06	2006-06-17	84.02	64.94	15.97	24.48	390.9456	1.5329	724866.2282
02MO06	2006-06-18	82.04	62.96	15.97	22.5	359.325	1.4089	705596.1539
02MO06	2006-06-19	89.06	64.04	15.97	25.02	399.5694	1.5667	976949.98
02MO06	2006-06-20	89.96	68	15.97	27	431.19	1.6907	884686.282
02MO06	2006-06-21	91.04	71.96	15.97	28.98	462.8106	1.8147	793187.4006
02MO06	2006-06-22	84.02	66.02	15.97	25.02	399.5694	1.5667	688794.0594
02MO06	2006-06-23	82.94	64.04	15.97	23.49	375.1353	1.4709	708483.727
02MO06	2006-06-24	84.92	62.06	15.97	23.49	375.1353	1.4709	856927.9365
02MO06	2006-06-25	82.94	62.96	15.95	22.95	366.0525	1.4389	741604.1485
02MO06	2006-06-26	75.02	60.08	15.95	17.55	279.9225	1.1003	513484.4796
02MO06	2006-06-27	80.96	57.02	15.93	18.99	302.5107	1.1921	838246.6728
02MO06	2006-06-28	86	57.92	15.93	21.96	349.8228	1.3785	1025533.391
02MO06	2006-06-29	91.94	62.96	15.93	24.48	389.9664	1.5367	1139151.144
02MO06	2006-06-30	84.02	66.92	15.92	25.47	405.4824	1.5999	654163.9134
02MO06	2006-07-01	95	64.04	15.92	25.02	398.3184	1.5716	1247939.255
02MO06	2006-07-02	95	69.08	15.9	27.54	437.886	1.7321	1075189.2
02MO06	2006-07-03	95	69.08	15.9	27.54	437.886	1.7321	1075189.2
02MO06	2006-07-04	84.02	66.92	15.87	25.47	404.2089	1.6049	650061.2963
02MO06	2006-07-05	82.04	62.06	15.85	22.05	349.4925	1.3912	723299.2218
02MO06	2006-07-06	82.04	60.98	15.85	21.51	340.9335	1.3571	756682.4715
02MO06	2006-07-07	82.94	59	15.82	20.97	331.7454	1.3255	850436.5271
02MO06	2006-07-08	87.08	60.98	15.8	23.49	371.142	1.4867	964700.3282
02MO06	2006-07-09	87.08	68	15.8	27	426.6	1.7089	738666.3865
02MO06	2006-07-10	78.08	66.92	15.77	22.5	354.825	1.4268	402434.8508
02MO06	2006-07-11	87.98	69.08	15.75	27.54	433.755	1.7486	736357.1591
02MO06	2006-07-12	89.96	73.94	15.73	29.97	471.4281	1.9053	649679.122
02MO06	2006-07-13	95	69.08	15.72	27.54	432.9288	1.7519	1050983.089
02MO06	2006-07-14	87.98	68	15.68	27	423.36	1.7219	766225.3507
02MO06	2006-07-15	93.02	71.06	15.67	28.53	447.0651	1.8207	884761.0107
02MO06	2006-07-16	95	73.94	15.63	29.97	468.4311	1.9175	869178.1751
02MO06	2006-07-17	96.98	73.94	15.62	29.97	468.1314	1.9187	960809.7864
02MO06	2006-07-18	95	73.94	15.6	29.97	467.532	1.9212	865844.8007
02MO06	2006-07-19	100.94	77	15.57	31.5	490.455	2.0231	1032701.856
02MO06	2006-07-20	102.92	73.04	15.53	29.52	458.4456	1.9008	1268053.152
02MO06	2006-07-21	84.92	64.94	15.5	24.93	386.415	1.6084	719357.2227
02MO06	2006-07-22	82.94	62.06	15.47	22.5	348.075	1.4544	724567.9568
02MO06	2006-07-23	87.98	60.98	15.45	23.49	362.9205	1.5204	960042.3588
02MO06	2006-07-24	91.94	62.06	15.42	24.03	370.5426	1.5584	1094132.86
02MO06	2006-07-25	96.08	66.02	15.4	26.01	400.554	1.689	1155615.698
02MO06	2006-07-26	98.06	73.94	15.37	29.97	460.6389	1.9499	980061.8528
02MO06	2006-07-27	89.06	75.02	15.33	30.51	467.7183	1.9902	541386.0548
02MO06	2006-07-28	95	71.06	15.3	28.53	436.509	1.8647	930619.2705
02MO06	2006-07-29	100.94	73.94	15.27	29.97	457.6419	1.9627	1100986.472
02MO06	2006-07-30	102.92	73.94	15.23	29.97	456.4431	1.9678	1188852.043
02MO06	2006-07-31	102.02	77	15.2	31.5	478.8	2.0724	1034846.736
